id , BZCAT5 Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
174 , 5BZGJ0106+2539 , 16.54571 , 25.65847 , 0.199 ,  , 17.4 , 7309 , 130 ,  ,  , 
175 , 5BZQJ0106-0155 , 16.59579 , -1.92733 , 2.194 ,  , 19.2 , 7211 , 603 ,  ,  , 
176 , 5BZQJ0106-2718 , 16.60867 , -27.30328 , 2.486 ,  , 18.6 , 7211 , 455 ,  ,  , 
177 , 5BZQJ0106-1034 , 16.68396 , -10.56953 , 0.469 ,  , 18.1 , 7211 , 276 ,  , 0.85 , 
178 , 5BZQJ0106-4034 , 16.68796 , -40.57222 , 0.584 ,  , 18.9 , 7211 , 662 , 625 , 0.54 , 
179 , 5BZQJ0107+2611 , 16.9495 , 26.18572 , 0.522 ,  , 21.3 , 7211 , 190 ,  ,  , 
180 , 5BZQJ0108-0037 , 17.11183 , -0.62339 , 1.374 ,  , 17.3 , 7211 , 933 ,  ,  , 
181 , 5BZQJ0108+0135 , 17.16154 , 1.58342 , 2.099 ,  , 18.1 , 7211 , 2621 , 1634 , 0.22 , 6.4e-9
182 , 5BZBJ0109+1816 , 17.28408 , 18.26875 ,  ,  , 16.9 , 7300 , 90 ,  , 4.51 , 5e-10
183 , 5BZQJ0109+6133 , 17.44308 , 61.55847 , 0.783 ,  , 19.4 , 7211 , 305 , 664 , 0.33 , 5e-10
184 , 5BZGJ0110+4149 , 17.51996 , 41.83081 , 0.096 ,  , 15.7 , 7309 , 85 ,  , 1.17 , 
185 , 5BZBJ0110-0047 , 17.55275 , -0.79633 , 0.548 ,  , 19.8 , 7300 , 29 ,  ,  , 
186 , 5BZUJ0110+6805 , 17.55362 , 68.09478 ,  ,  , 16.5 , 7900 , 1715 ,  , 0.28 , 1.9e-9
187 , 5BZBJ0110-0415 , 17.62875 , -4.25861 ,  ,  , 18.2 , 7300 , 164 ,  , 0.48 , 
188 , 5BZQJ0110-1648 , 17.64796 , -16.80769 , 0.78 ,  , 15.8 , 7211 , 106 ,  , 1.87 , 
189 , 5BZBJ0110-1255 , 17.70825 , -12.91764 , 0.234 ,  ?  , 16.7 , 7300 , 17 ,  , 7.78 , 
190 , 5BZQJ0110-0741 , 17.70842 , -7.69475 , 1.779 ,  , 18.9 , 7211 , 846 ,  ,  , 
191 , 5BZBJ0111+0536 , 17.87575 , 5.60758 , 0.346 ,  , 18.8 , 7390 , 16 ,  , 2.08 , 
192 , 5BZUJ0111+3906 , 17.90546 , 39.10781 , 0.668 ,  , 22 , 7900 , 429 ,  , 0.03 , 
193 , 5BZQJ0111-1317 , 17.98692 , -13.28364 , 2.42 ,  , 21.3 , 7211 , 256 ,  ,  , 
194 , 5BZBJ0112+2244 , 18.02425 , 22.74411 , 0.265 ,  , 14.8 , 7300 , 385 ,  , 1.93 , 7.1e-9
195 , 5BZQJ0112+2020 , 18.04246 , 20.33939 , 0.746 ,  , 17.2 , 7211 , 471 ,  , 0.45 , 
196 , 5BZQJ0112+3522 , 18.05392 , 35.37203 , 0.45 ,  , 18.3 , 7211 , 399 ,  , 0.63 , 
197 , 5BZQJ0112+3818 , 18.07521 , 38.31581 , 0.333 ,  , 16.7 , 7211 , 58 ,  , 0.6 , 
198 , 5BZQJ0112-6634 , 18.07879 , -66.57922 , 1.189 ,  , 17.5 , 7211 , 450 ,  ,  , 
199 , 5BZBJ0112-3201 , 18.1365 , -32.02836 ,  ,  , 19.8 , 7300 , 4 ,  , 0.85 , 
200 , 5BZQJ0112+3208 , 18.20971 , 32.13817 , 0.603 ,  , 16.4 , 7211 , 685 ,  , 4.38 , 4.6e-9
201 , 5BZQJ0113-3551 , 18.31604 , -35.86331 , 1.22 ,  , 19.9 , 7211 , 180 , 478 ,  , 4e-10
202 , 5BZQJ0113+4948 , 18.3625 , 49.80667 , 0.389 ,  , 17.8 , 7211 , 667 , 465 , 0.77 , 9e-10
203 , 5BZGJ0113+0222 , 18.42975 , 2.37147 , 0.047 ,  , 14.6 , 7309 , 491 ,  , 0.55 , 
204 , 5BZQJ0113+1324 , 18.47712 , 13.41458 , 0.685 ,  , 18.8 , 7211 , 248 ,  , 0.31 , 
