id , 3HSP Source name , BZcat name , R.A. , Dec , NVSS/FIRSTflux density(mJy) , Redshift , X-ray flux d. @ 1keV (μJy) , Log(peak flux) , FOM , γ-ray counterpart , Fermi γ-ray slope , 2WHSP name
954 , 3HSPJ111158.1+485701 ,  , 167.99542 , 48.95028 , 46.1 , 0.44 , 0.04 , -12.5 , 0.13 ,  , 1.95 , 2WHSPJ111158.9+485701
955 , 3HSPJ111207.9+260803 , 5BZBJ1112+2608 , 168.03308 , 26.13417 , 8.6 , 0.45 , 0.13 , -12.1 , 0.32 ,  ,  , 2WHSPJ111207.9+260803
956 , 3HSPJ111224.6+175121 , 5BZBJ1112+1751 , 168.1025 , 17.85583 , 14.4 , 0.42 , 0.46 , -11.9 , 0.5 ,  , 1.47 , 2WHSPJ111224.5+175120
957 , 3HSPJ111603.5+371036 ,  , 169.01442 , 37.17667 , 1.4 , 0.269 , 0.1 , -12.3 , 0.2 ,  ,  , 2WHSPJ111603.5+371036
958 , 3HSPJ111644.6+402635 ,  , 169.18604 , 40.44306 , 2.6 , 0.202 , 0.09 , -12.4 , 0.16 ,  ,  , 
959 , 3HSPJ111706.3+201407 , 5BZBJ1117+2014 , 169.27608 , 20.23528 , 103.2 , 0.138 , 1.48 , -11 , 3.98 , 2FHL J1116.9+2014 , 1.87 , 2WHSPJ111603.4+371036
960 , 3HSPJ111709.8+585921 ,  , 169.29063 , 58.98917 , 4.6 , 0.081 , 0.09 , -12.3 , 0.2 ,  ,  , 2WHSPJ111709.7+585921
961 , 3HSPJ111715.2-533813 ,  , 169.3135 , -53.63694 ,  ,  , 0.28 , -12 , 0.4 ,  , 2 , 
962 , 3HSPJ111717.5+000633 , 5BZBJ1117+0006 , 169.32308 , 0.10917 , 14.3 , 0.451 , 0.39 , -11.7 , 0.79 ,  , 2.17 , 2WHSPJ111717.5+000633
963 , 3HSPJ111757.2+535554 , 5BZBJ1117+5355 , 169.4885 , 53.93167 , 12.6 , 0.44 , 0.16 , -11.7 , 0.79 ,  , 1.93 , 2WHSPJ111757.1+535554
964 , 3HSPJ111806.9-813619 ,  , 169.52867 , -81.60528 , 18.3 , 0.35 , 0.21 , -12.3 , 0.2 ,  ,  , 2WHSPJ111806.7-813619
965 , 3HSPJ111810.9-164339 ,  , 169.54529 , -16.7275 , 19.9 , 0.4 , 0.14 , -12.4 , 0.16 ,  ,  , 2WHSPJ111810.7-164338
966 , 3HSPJ111939.6-304720 , 5BZBJ1119-3047 , 169.91492 , -30.78889 , 9.6 , 0.412 , 0.26 , -12.1 , 0.32 ,  , 1.54 , 2WHSPJ111939.4-304720
