id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Power Law Index , Flux 50-100 MeV (ph/cm2/s) , Flux 100-300 MeV (ph/cm2/s) , Flux 300-1000 MeV (ph/cm2/s) , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 50-100 MeV (erg /cm2/s) , NuFNu 100-300 MeV (erg /cm2/s) , NuFNu 300-1000 MeV (erg /cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s) , Signif. Peak , Flux Peak (ph/cm2/s) , Flux Peak Error (ph/cm2/s) , Previous Fermi Association , Other Gamma Catalog Associations , TeVCat Flag , TeV Assoc. Name , Class , Association , Assoc. Probability , R.A. Counterpart , Dec. Counterpart , Counterpart Error
34 , 4FGL J0009.1+0628 , 2.2973 , 6.4828 ,  , 5.726e-13 , PowerLaw , 2.1171386 , <1.191e-8 , 1.098e-9 , 1.527e-9 , 2.792e-10 , 1.140e-10 , 2.825e-11 , 9.659e-12 , 7.173e-17 , 2.608e-13 , 1.034e-12 , 6.632e-13 , 7.720e-13 , 6.710e-13 , 4.921e-13 ,  ,  ,  , 3FGL J0009.1+0630 ,  , N ,  , bll , TXS 0006+061 , 0.9931449 , 2.26638275 , 6.47256675278 , 0.00000016
35 , 4FGL J0009.2+6847 , 2.3045 , 68.7932 ,  , 1.470e-12 , LogParabola , 2.6165042 , 2.437e-8 , 8.998e-9 , 4.003e-9 , 6.529e-10 , 4.884e-11 , 1.844e-12 , <4.010e-12 , 4.185e-12 , 2.380e-12 , 2.733e-12 , 1.420e-12 , 2.718e-13 , 3.495e-14 , 4.181e-17 ,  ,  ,  , 3FGL J0008.5+6853 ,  , N ,  ,  ,  , 0 ,  ,  , 
36 , 4FGL J0009.2+1745 , 2.3077 , 17.7544 ,  , 4.942e-13 , PowerLaw , 2.5332298 , 1.983e-8 , 3.237e-9 , 7.344e-10 , 1.905e-10 , 1.819e-11 , <6.757e-12 , <4.861e-12 , 3.110e-12 , 7.387e-13 , 4.742e-13 , 4.347e-13 , 1.175e-13 , 1.945e-17 , 1.830e-16 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0.31 , 2.2002642154693604 , 17.846906661987305 , 0.0045
37 , 4FGL J0009.3+5030 , 2.3466 , 50.5115 ,  , 1.185e-12 , LogParabola , 1.987031 , 9.226e-9 , 1.436e-8 , 5.480e-9 , 1.846e-9 , 6.889e-10 , 1.667e-10 , 4.907e-11 , 1.509e-12 , 3.591e-12 , 3.871e-12 , 4.470e-12 , 4.684e-12 , 3.911e-12 , 2.184e-12 , 30.160498 , 0.00000003339306 , 0.0000000020286752 , 3FGL J0009.3+5030 ,  , N ,  , bll , NVSS J000922+503028 , 0.9999694 , 2.344833625 , 50.5080106194 , 0.00000037
38 , 4FGL J0009.7-1418 , 2.4403 , -14.3045 ,  , 4.393e-13 , PowerLaw , 2.3998108 , <6.570e-9 , 3.218e-9 , 1.475e-9 , 1.605e-10 , 2.623e-11 , 1.200e-11 , <5.143e-12 , 1.000e-18 , 7.437e-13 , 9.666e-13 , 3.709e-13 , 1.719e-13 , 2.774e-13 , 5.312e-17 ,  ,  ,  , 3FGL J0010.5-1425 ,  , N ,  ,  ,  , 0 ,  ,  , 
39 , 4FGL J0009.7-3217 , 2.4443 , -32.2976 ,  , 3.759e-13 , PowerLaw , 2.1981528 , 1.523e-9 , <2.122e-9 , 5.436e-10 , 1.773e-10 , 1.976e-11 , 1.439e-11 , <4.861e-12 , 2.421e-13 , 1.181e-18 , 3.647e-13 , 4.179e-13 , 1.326e-13 , 3.391e-13 , 1.471e-17 ,  ,  ,  , 3FGL J0009.6-3211 ,  , N ,  , rdg , IC 1531 , 0.99067837 , 2.39815735417 , -32.2769248667 , 0.00000017
40 , 4FGL J0009.8-4317 , 2.4533 , -43.2979 ,  , 3.658e-13 , PowerLaw , 2.145199 , <9.597e-9 , 3.464e-9 , 4.952e-10 , 1.348e-10 , 3.952e-11 , 2.624e-11 , <5.570e-12 , 6.557e-16 , 8.206e-13 , 3.342e-13 , 3.194e-13 , 2.668e-13 , 6.216e-13 , 6.777e-17 ,  ,  ,  ,  ,  , N ,  , bll , SUMSS J000949-431654 , 0.99851024 , 2.457291603088379 , -43.280582427978516 , 0.0045
41 , 4FGL J0010.6+2043 , 2.6502 , 20.7332 ,  , 4.421e-13 , PowerLaw , 2.316534 , <1.615e-8 , 2.399e-9 , 7.207e-10 , 1.257e-10 , 3.956e-11 , <8.012e-12 , <4.906e-12 , 7.426e-17 , 5.588e-13 , 4.769e-13 , 2.930e-13 , 2.617e-13 , 6.447e-17 , 4.649e-19 , 4.384123 , 0.000000009763418 , 0.0000000027438116 ,  ,  , N ,  , fsrq , TXS 0007+205 , 0.96985173 , 2.61976269167 , 20.7971634917 , 0.00000014
42 , 4FGL J0010.6-3025 , 2.6675 , -30.4258 ,  , 4.407e-13 , PowerLaw , 2.4291213 , <1.187e-8 , 4.760e-9 , 1.574e-9 , 3.502e-10 , 2.618e-11 , 5.712e-12 , <5.112e-12 , 3.946e-14 , 1.097e-12 , 1.028e-12 , 8.073e-13 , 1.711e-13 , 1.316e-13 , 7.153e-19 , 12.842546 , 0.000000031718148 , 0.0000000033599417 ,  ,  , N ,  , fsrq , PKS 0008-307 , 0.99674195 , 2.64892584167 , -30.4631718333 , 0.00000018
43 , 4FGL J0010.8-2154 , 2.7174 , -21.9004 ,  , 3.789e-13 , PowerLaw , 2.4946294 , <1.075e-8 , 1.213e-9 , 5.028e-10 , 1.022e-10 , 1.306e-11 , 3.722e-12 , 2.495e-12 , 1.632e-15 , 2.778e-13 , 3.261e-13 , 2.341e-13 , 8.471e-14 , 8.526e-14 , 1.105e-13 ,  ,  ,  ,  ,  , N ,  , bcu , PKS 0008-222 , 0.9900694 , 2.7235416 , -21.9511722639 , 0.00000012
