id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , Significance , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , Spectrum Type , PL Flux Density (cm-2 MeV-1 s-1) , PL Flux Density Error (cm-2 MeV-1 s-1) , Power Law Index , Flux 100-300 MeV (ph/cm2/s) , Flux 300-1000 MeV (ph/cm2/s) , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 50-100 MeV (erg /cm2/s) , NuFNu 100-300 MeV (erg /cm2/s) , NuFNu 300-1000 MeV (erg /cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s) , Class , Low confidence Class
21 , 4FGL J0005.9+3824 , 00 05 59.66 , +38 24 03.6 ,  , 14.65977 , 4.541e-10 , 4.877e-11 , PowerLaw , 3.824e-12 , 2.944e-13 , 2.6667964 , 1.645e-8 , 3.500e-9 , 3.945e-10 , 3.640e-11 , 4.493e-13 , <5.520e-12 , 5.209e-12 , 3.709e-12 , 2.227e-12 , 8.893e-13 , 2.316e-13 , 1.013e-14 , 1.885e-17 , fsrq , 
22 , 4FGL J0006.3-0620 , 00 06 23.8 , -06 20 57.48 ,  , 4.12492 , 1.259e-10 , 3.345e-11 , PowerLaw , 3.188e-14 , 8.439e-15 , 2.1706007 , 9.264e-10 , 3.293e-10 , 6.737e-11 , 4.044e-11 , 6.356e-12 , <6.492e-12 , 9.874e-13 , 2.189e-13 , 2.216e-13 , 1.592e-13 , 2.721e-13 , 1.502e-13 , 2.415e-17 , bll , 
23 , 4FGL J0006.4+0135 , 00 06 26.25 , +01 35 53.52 ,  , 6.145243 , 1.769e-10 , 3.730e-11 , PowerLaw , 2.958e-14 , 6.237e-15 , 2.0946035 , 1.149e-9 , 3.728e-10 , 1.308e-10 , 4.819e-11 , 1.092e-11 , <6.003e-12 , 4.868e-15 , 2.736e-13 , 2.531e-13 , 3.114e-13 , 3.272e-13 , 2.600e-13 , 1.757e-16 , bcu , 
24 , 4FGL J0006.6+4618 , 00 06 40.72 , +46 18 16.56 ,  , 6.360635 , 2.040e-10 , 3.892e-11 , PowerLaw , 1.899e-13 , 3.337e-14 , 2.521416 , 1.092e-8 , 8.006e-10 , 1.129e-10 , 5.309e-11 , 7.604e-12 , <5.213e-12 , 2.519e-13 , 2.495e-12 , 5.176e-13 , 2.579e-13 , 3.433e-13 , 1.737e-13 , 1.272e-18 ,  , 
25 , 4FGL J0007.0+7303 , 00 07 04.32 , +73 03 04.31 ,  , 329.09354 , 6.694e-8 , 4.799e-10 , PLSuperExpCutoff , 2.664e-11 , 1.714e-13 , 2.027981 , 1.644e-7 , 1.134e-7 , 4.970e-8 , 1.540e-8 , 1.452e-9 , 5.329e-11 , 2.929e-11 , 4.248e-11 , 8.288e-11 , 1.211e-10 , 9.896e-11 , 2.947e-11 , 1.481e-12 , PSR , 
26 , 4FGL J0007.7+4008 , 00 07 42.59 , +40 08 02.4 ,  , 11.106481 , 3.635e-10 , 4.471e-11 , PowerLaw , 1.090e-13 , 1.324e-14 , 2.1567848 , 2.366e-9 , 1.121e-9 , 2.418e-10 , 1.145e-10 , 1.122e-11 , <4.102e-12 , 2.030e-12 , 5.598e-13 , 7.553e-13 , 5.723e-13 , 7.721e-13 , 2.656e-13 , 5.843e-17 , bcu , 
27 , 4FGL J0008.0+4711 , 00 08 00.57 , +47 11 42.0 ,  , 42.16299 , 2.053e-9 , 8.996e-11 , LogParabola , 1.019e-12 , 4.178e-14 , 2.0525768 , 6.666e-9 , 4.224e-9 , 1.370e-9 , 5.235e-10 , 1.239e-10 , 2.165e-11 , 5.821e-12 , 1.666e-12 , 2.975e-12 , 3.301e-12 , 3.531e-12 , 2.882e-12 , 9.244e-13 , bll , 
28 , 4FGL J0008.0-3937 , 00 08 01.15 , -39 37 55.19 ,  , 5.730293 , 1.608e-10 , 3.764e-11 , LogParabola , 3.508e-13 , 6.985e-14 , 2.5685303 , 1.730e-10 , 1.026e-9 , 1.311e-10 , 6.364e-12 , <6.738e-12 , <4.321e-12 , 4.992e-13 , 4.987e-14 , 7.217e-13 , 2.756e-13 , 3.322e-14 , 2.556e-16 , 3.776e-19 , bcu , 
29 , 4FGL J0008.4+6926 , 00 08 25.72 , +69 26 27.23 ,  , 4.8184443 , 3.218e-10 , 7.003e-11 , PowerLaw , 3.145e-14 , 6.580e-15 , 2.3719156 , <1.084e-8 , 1.288e-9 , 3.052e-10 , 4.314e-11 , 2.407e-11 , <3.534e-12 , 1.814e-20 , 4.813e-17 , 8.470e-13 , 7.072e-13 , 2.837e-13 , 5.578e-13 , 2.182e-17 ,  , 
30 , 4FGL J0008.4-2339 , 00 08 26.64 , -23 39 05.03 ,  , 10.519943 , 1.955e-10 , 3.621e-11 , PowerLaw , 6.676e-15 , 1.165e-15 , 1.6839513 , 1.066e-9 , 1.607e-10 , 9.104e-11 , 3.996e-11 , 5.313e-11 , 7.262e-12 , 2.117e-15 , 2.644e-13 , 1.145e-13 , 2.257e-13 , 2.848e-13 , 1.317e-12 , 4.428e-13 , bll , 
