id , BZCAT5 Source name , Source classification
517 , 5BZQJ0322-5042 , FSRQ
518 , 5BZQJ0322-1335 , FSRQ
519 , 5BZBJ0323-0111 , BL Lac
520 , 5BZBJ0323+0717 , BL Lac Candidate
521 , 5BZBJ0323-0108 , BL Lac
522 , 5BZUJ0324+3410 , Blazar Uncertain type
523 , 5BZQJ0324-2918 , FSRQ
524 , 5BZQJ0325-2140 , FSRQ
525 , 5BZQJ0325-2415 , FSRQ
526 , 5BZQJ0325-5629 , FSRQ
527 , 5BZQJ0325+2224 , FSRQ
528 , 5BZBJ0325-1646 , BL Lac Candidate
529 , 5BZBJ0326+0225 , BL Lac
530 , 5BZQJ0326-3243 , FSRQ
531 , 5BZQJ0326-5337 , FSRQ
532 , 5BZQJ0327+0044 , FSRQ
533 , 5BZQJ0327-2202 , FSRQ
534 , 5BZUJ0329+3510 , Blazar Uncertain type
535 , 5BZQJ0329-2357 , FSRQ
536 , 5BZQJ0331-2524 , FSRQ
537 , 5BZUJ0332-1119 , Blazar Uncertain type
538 , 5BZQJ0332-7249 , FSRQ
539 , 5BZQJ0332-4455 , FSRQ
540 , 5BZBJ0333-3619 , BL Lac
541 , 5BZBJ0333+2916 , BL Lac
542 , 5BZBJ0333+6536 , BL Lac
543 , 5BZBJ0334-4008 , BL Lac
544 , 5BZBJ0334-3725 , BL Lac
545 , 5BZQJ0334+0800 , FSRQ
546 , 5BZBJ0335-4459 , BL Lac
547 , 5BZBJ0336-0347 , BL Lac
548 , 5BZQJ0336+3218 , FSRQ
549 , 5BZQJ0336-1302 , FSRQ
550 , 5BZQJ0336-3616 , FSRQ
551 , 5BZQJ0337-1204 , FSRQ
552 , 5BZQJ0338+3106 , FSRQ
553 , 5BZBJ0338-2443 , BL Lac
554 , 5BZQJ0339-0133 , FSRQ
555 , 5BZQJ0339-0146 , FSRQ
556 , 5BZQJ0340-6703 , FSRQ
557 , 5BZBJ0340-2119 , BL Lac
558 , 5BZQJ0341+3352 , FSRQ
559 , 5BZQJ0341-5954 , FSRQ
560 , 5BZUJ0342+3859 , Blazar Uncertain type
561 , 5BZQJ0343-2530 , FSRQ
562 , 5BZQJ0343+3622 , FSRQ
563 , 5BZQJ0343-1141 , FSRQ
564 , 5BZQJ0344+1559 , FSRQ
565 , 5BZQJ0345+1453 , FSRQ
566 , 5BZQJ0345-0023 , FSRQ
567 , 5BZQJ0347+4842 , FSRQ
568 , 5BZQJ0348-2749 , FSRQ
569 , 5BZBJ0348-1610 , BL Lac
570 , 5BZBJ0349-1159 , BL Lac
571 , 5BZQJ0349-2102 , FSRQ
572 , 5BZQJ0350+5138 , FSRQ
573 , 5BZQJ0351-1153 , FSRQ
574 , 5BZQJ0351-7921 , FSRQ
575 , 5BZBJ0351-3703 , BL Lac
576 , 5BZBJ0353-3623 , BL Lac
577 , 5BZQJ0354-1616 , FSRQ
578 , 5BZBJ0354+8009 , BL Lac Candidate
579 , 5BZBJ0357-4955 , BL Lac
580 , 5BZUJ0357+2319 , Blazar Uncertain type
