id , Source name , Counterpart name , Class , RA (J2000.0) , Dec (J2000.0) , Significance , Flux 10-2000 GeV (ph/cm2/s) , Flux 10-2000 GeV Error , Spectral Index , Spectral Index Error , Log Nu peak (Hz) , Redshift , TeV Cat , Prev. Fermi Assoc.
997 , 3FHL J1518.0-2731  , TXS 1515-273  , bll  , 229.5103302001953 , -27.531509399414062 , 11.73 , 1.080e-10 , 2.010e-11 , 1.968 , 0.366 , 15.15 , 0.000 ,   , 3FGL J1518.0-2732 
998 , 3FHL J1518.5+4044  , GB6 J1518+4045  , bll  , 229.64532470703125 , 40.73994827270508 , 6.29 , 3.064e-11 , 1.062e-11 , 2.637 , 0.89 , 15.65 , 0.065 ,   ,  
999 , 3FHL J1520.7-0348  , NVSS J152048-034850  , bll  , 230.19583129882812 , -3.8115715980529785 , 14.15 , 1.568e-10 , 2.500e-11 , 2.043 , 0.456 , 15.24 , 0.000 ,   , 3FGL J1520.8-0348 
1000 , 3FHL J1522.1+3144  , B2 1520+31  , fsrq  , 230.54664611816406 , 31.73854637145996 , 23.52 , 2.494e-10 , 2.906e-11 , 3.217 , 0.468 , 12.97 , 1.489 ,   , 3FGL J1522.1+3144 
1001 , 3FHL J1522.6-2731  , PKS 1519-273  , bll  , 230.65870666503906 , -27.521203994750977 , 8.68 , 6.731e-11 , 1.641e-11 , 2.031 , 0.587 , 12.8 , 1.297 ,   , 3FGL J1522.6-2730 
1002 , 3FHL J1523.2+0533  , NVSS J152312+053357  , bcu  , 230.810302734375 , 5.560328960418701 , 4.59 , 1.736e-11 , 8.439e-12 , 1.275 , 0.652 , 0 , 0.000 ,   ,  
1003 , 3FHL J1524.8-5904  , PMN J1524-5903  , bcu  , 231.2058868408203 , -59.082916259765625 , 5.91 , 5.604e-11 , 1.612e-11 , 2.053 , 0.682 , 12.65 , 0.000 ,   , 3FGL J1525.2-5905 
1004 , 3FHL J1526.3-4501  ,   ,   , 231.59092712402344 , -45.027618408203125 , 6.59 , 4.684e-11 , 1.363e-11 , 1.765 , 0.651 , 0 , 0.000 ,   , 3FGL J1526.3-4505 
1005 , 3FHL J1528.4-6730  , 1RXS J152815.0-673003  , unknown , 232.1149139404297 , -67.50879669189453 , 4.3 , 2.908e-11 , 1.117e-11 , 1.909 , 0.89 , 0 , 0.000 ,   ,  
1006 , 3FHL J1530.9+5736  , 87GB 152947.5+574636  , bll  , 232.73883056640625 , 57.60133361816406 , 6.26 , 3.141e-11 , 1.050e-11 , 2.026 , 0.755 , 14.4 , 1.1 ,   , 3FGL J1531.0+5737 
1007 , 3FHL J1531.9+3016  , RX J1531.9+3016  , bll  , 232.98609924316406 , 30.273170471191406 , 6 , 3.272e-11 , 1.075e-11 , 1.685 , 0.624 , 15.8 , 0.065 ,   , 3FGL J1532.0+3018 
1008 , 3FHL J1532.7-1319  , TXS 1530-131  , fsrq  , 233.19113159179688 , -13.32271957397461 , 16.98 , 2.087e-10 , 2.813e-11 , 2.534 , 0.41 , 12.73 , 0.000 ,   , 3FGL J1532.7-1319 
1009 , 3FHL J1533.2+1855  , RX J1533.1+1854  , bll  , 233.31442260742188 , 18.930683135986328 , 8.8 , 5.466e-11 , 1.434e-11 , 1.678 , 0.428 , 16.58 , 0.307 ,   , 3FGL J1533.2+1852 
1010 , 3FHL J1533.2+3416  , RX J1533.3+3416  , bll  , 233.3096160888672 , 34.27631378173828 , 5.01 , 2.715e-11 , 1.043e-11 , 2.674 , 0.925 , 15.95 , 0.000 ,   , 3FGL J1533.5+3416 
1011 , 3FHL J1534.0-5231  ,   ,   , 233.5030059814453 , -52.52894592285156 , 4.06 , 3.690e-11 , 1.339e-11 , 2.822 , 1.067 , 0 , 0.000 ,   , 3FGL J1533.8-5231 
