id , BZCAT5 Source name , Other name , BZCAT name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density 5.0GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
2735 , 5BZBJ1655+3723 , GB6J1655+3723  , BZBJ1655+3723  , 253.96762 , 37.38942 ,  ,  , 20.3 , BL Lac , 76 , 27 ,  ,  , 
2736 , 5BZQJ1656-3302 , 1RXSJ165616.6-330150 , BZQJ1656-3302  , 254.07021 , -33.03642 , 2.4 ,  , 19.1 , QSO RLoud flat radio sp. , 411 , 220 ,  , 1.33 , 1e-9
2737 , 5BZQJ1656+1826 , CRATESJ165634+182624 , BZQJ1656+1826  , 254.14204 , 18.44067 , 2.551 ,  , 20.1 , QSO RLoud flat radio sp. , 238 , 349 ,  ,  , 
2738 , 5BZQJ1656+5321 , 1WGAJ1656.6+5321 , BZQJ1656+5321  , 254.16508 , 53.36356 , 1.553 ,  , 19 , QSO RLoud flat radio sp. , 94 , 145 ,  , 0.15 , 
2739 , 5BZQJ1656+6012 , GB6J1656+6012  , BZQJ1656+6012  , 254.20104 , 60.20456 , 0.623 ,  , 18.6 , QSO RLoud flat radio sp. , 292 , 184 , 205 , 0.16 , 4e-10
2740 , 5BZUJ1656-0206 , PKS1654-020  , BZUJ1656-0206  , 254.23383 , -2.11375 , 2 ,  ?  , 20 , Blazar Uncertain type , 744 , 477 ,  ,  , 
2741 , 5BZQJ1657+5705 , 4C57.28  , BZQJ1657+5705  , 254.33629 , 57.09819 , 1.281 ,  , 17.4 , QSO RLoud flat radio sp. , 940 , 764 ,  , 0.33 , 
2742 , 5BZUJ1657+4808 , S41656+482  ,  , 254.44533 , 48.14253 , 1.669 ,  , 21.7 , Blazar Uncertain type , 1036 , 738 , 318 , 0.12 , 1.2e-9
2743 , 5BZBJ1657+6436 , 1RXSJ165802.6+643644 , BZBJ1657+6436  , 254.49571 , 64.61156 , 0.449 ,  , 20.6 , BL Lac , 5 ,  ,  , 0.15 , 
2744 , 5BZQJ1658+3443 , B2 1656+34  , BZQJ1658+3443  , 254.50592 , 34.72456 , 1.939 ,  , 18 , QSO RLoud flat radio sp. , 449 , 474 ,  , 0.04 , 
2745 , 5BZQJ1658+3605 , BZQJ1658+3605  , BZQJ1658+3605  , 254.51092 , 36.08447 , 2.116 ,  , 18.1 , QSO RLoud flat radio sp. , 73 , 52 ,  , 0.16 , 
2746 , 5BZQJ1658+4737 , S4 1656+47  , BZQJ1658+4737  , 254.51158 , 47.63033 , 1.61 ,  , 17.8 , QSO RLoud flat radio sp. , 859 , 1244 , 273 , 0.32 , 
