id , Source Name , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , 0.1-100 GeV Energy Flux (erg cm-2 s-1) , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s)
2216 , 4FGL J1153.4+4931 , 1.365e-9 , 6.204e-11 , 1.818e-11 , 6.226e-13 , PowerLaw , 1.166e-9 , 2.781e-10 , 1.260e-11 , 2.283e-12 , 2.693e-12 , 1.821e-12 , 2.911e-13 , 1.042e-13
2217 , 4FGL J1153.6-2553 , 2.753e-10 , 4.373e-11 , 3.271e-12 , 5.223e-13 , PowerLaw , 2.305e-10 , 8.806e-11 , 2.248e-11 , 7.113e-12 , 5.620e-13 , 6.151e-13 , 5.479e-13 , 4.033e-13
2218 , 4FGL J1153.7+3822 , 1.112e-10 , 2.832e-11 , 1.243e-12 , 3.106e-13 , PowerLaw , 9.221e-11 , 8.162e-12 , 1.976e-11 , <4.425e-12 , 2.215e-13 , 5.602e-14 , 4.748e-13 , 2.009e-17
2219 , 4FGL J1154.0-0010 , 3.995e-10 , 4.957e-11 , 5.032e-12 , 6.447e-13 , PowerLaw , 1.602e-10 , 1.062e-10 , 7.267e-11 , 1.366e-11 , 3.936e-13 , 7.488e-13 , 1.785e-12 , 8.006e-13
2220 , 4FGL J1154.0+4037 , 2.929e-10 , 3.830e-11 , 3.253e-12 , 4.254e-13 , PowerLaw , 2.181e-10 , 5.775e-11 , 1.686e-11 , 1.017e-11 , 5.208e-13 , 3.935e-13 , 4.026e-13 , 5.287e-13
2221 , 4FGL J1154.0+6018 , 2.731e-10 , 3.323e-11 , 6.117e-12 , 5.135e-13 , PowerLaw , 2.575e-10 , 2.232e-11 , <3.821e-12 , 1.947e-12 , 5.737e-13 , 1.401e-13 , 1.419e-17 , 7.834e-14
2222 , 4FGL J1154.1-3243 , 1.301e-9 , 8.009e-11 , 1.049e-11 , 8.279e-13 , LogParabola , 8.702e-10 , 3.469e-10 , 5.714e-11 , 2.366e-12 , 2.089e-12 , 2.301e-12 , 1.299e-12 , 8.990e-14
2223 , 4FGL J1154.5-5952 , 5.777e-10 , 1.004e-10 , 4.763e-12 , 1.399e-12 , LogParabola , 5.479e-10 , 1.594e-11 , 3.962e-12 , <6.667e-12 , 1.168e-12 , 8.427e-14 , 7.510e-14 , 8.848e-16
2224 , 4FGL J1155.2-6259 , 6.886e-10 , 2.074e-10 , 8.047e-12 , 2.941e-12 , PowerLaw , 7.836e-10 , 1.675e-10 , 1.663e-11 , 2.369e-12 , 1.839e-12 , 1.118e-12 , 3.903e-13 , 1.151e-13
2225 , 4FGL J1155.2-1111 , 1.560e-10 , 4.045e-11 , 1.786e-12 , 4.359e-13 , PowerLaw , 7.459e-11 , 5.382e-11 , 1.350e-11 , 3.966e-12 , 1.806e-13 , 3.728e-13 , 3.268e-13 , 2.185e-13
2226 , 4FGL J1155.5-3418 , 3.119e-10 , 4.611e-11 , 4.051e-12 , 5.950e-13 , PowerLaw , 1.551e-10 , 1.136e-10 , 1.724e-11 , 2.602e-11 , 3.824e-13 , 8.044e-13 , 4.249e-13 , 1.547e-12
2227 , 4FGL J1155.6-6547 , 3.588e-10 , 7.272e-11 , 6.782e-12 , 1.554e-12 , PowerLaw , 3.512e-10 , 2.088e-11 , <7.317e-12 , <4.604e-12 , 7.903e-13 , 1.326e-13 , 3.971e-17 , 4.381e-18
2228 , 4FGL J1155.6-6245 , 1.254e-9 , 2.451e-10 , 1.249e-11 , 3.641e-12 , LogParabola , 8.729e-10 , 1.077e-10 , 1.744e-11 , <5.135e-12 , 1.947e-12 , 6.347e-13 , 3.507e-13 , 1.179e-20
2229 , 4FGL J1155.8+6137 , 8.266e-11 , 2.345e-11 , 9.563e-13 , 2.587e-13 , PowerLaw , 2.776e-11 , 2.967e-11 , 7.976e-12 , 2.203e-12 , 6.735e-14 , 2.061e-13 , 1.935e-13 , 1.225e-13
2230 , 4FGL J1156.6-2248 , 3.204e-10 , 5.012e-11 , 3.565e-12 , 5.643e-13 , PowerLaw , 2.194e-10 , 6.777e-11 , 3.116e-11 , 3.122e-12 , 5.223e-13 , 4.602e-13 , 7.419e-13 , 1.606e-13
2231 , 4FGL J1157.7-6327 , 1.162e-9 , 1.749e-10 , 1.463e-11 , 3.309e-12 , LogParabola , 1.051e-9 , 9.258e-11 , 4.635e-12 , <4.677e-12 , 2.275e-12 , 5.229e-13 , 8.950e-14 , 2.511e-22
2232 , 4FGL J1158.3-6232 , 8.996e-10 , 1.569e-10 , 1.127e-11 , 2.686e-12 , PowerLaw , 8.926e-10 , 1.864e-10 , 1.774e-11 , 2.803e-12 , 2.075e-12 , 1.230e-12 , 4.123e-13 , 1.311e-13
2233 , 4FGL J1158.5+4824 , 2.387e-10 , 3.560e-11 , 3.384e-12 , 4.557e-13 , PowerLaw , 2.246e-10 , 2.672e-11 , 6.838e-12 , 3.650e-12 , 5.159e-13 , 1.738e-13 , 1.570e-13 , 1.632e-13
2234 , 4FGL J1158.8-1430 , 1.253e-10 , 4.216e-11 , 1.510e-12 , 4.466e-13 , PowerLaw , 8.202e-11 , 1.579e-11 , 1.353e-11 , 7.417e-12 , 2.004e-13 , 1.106e-13 , 3.306e-13 , 4.244e-13
2235 , 4FGL J1158.9+0818 , 1.705e-10 , 3.583e-11 , 1.964e-12 , 4.090e-13 , PowerLaw , 1.136e-10 , 5.332e-11 , 8.927e-12 , 6.615e-12 , 2.755e-13 , 3.700e-13 , 2.164e-13 , 3.664e-13
2236 , 4FGL J1159.0+0939 , 6.348e-10 , 5.506e-11 , 7.106e-12 , 5.916e-13 , PowerLaw , 4.420e-10 , 1.620e-10 , 3.553e-11 , 5.398e-12 , 1.049e-12 , 1.095e-12 , 8.429e-13 , 2.735e-13
2237 , 4FGL J1159.2-2227 , 1.011e-9 , 7.835e-11 , 8.510e-12 , 9.849e-13 , LogParabola , 7.494e-10 , 1.595e-10 , 1.037e-11 , <6.049e-12 , 1.727e-12 , 9.895e-13 , 2.198e-13 , 1.556e-18
2238 , 4FGL J1159.3-6122 , 5.615e-10 , 1.039e-10 , 8.430e-12 , 2.063e-12 , PowerLaw , 5.366e-10 , 1.012e-10 , 7.949e-12 , <5.581e-12 , 1.227e-12 , 6.548e-13 , 1.817e-13 , 4.084e-18
2239 , 4FGL J1159.3-2142 , 1.172e-9 , 7.366e-11 , 1.755e-11 , 9.299e-13 , PowerLaw , 1.084e-9 , 1.399e-10 , 2.341e-11 , <4.859e-12 , 2.478e-12 , 9.055e-13 , 5.354e-13 , 3.557e-17
2240 , 4FGL J1159.5+2914 , 7.560e-9 , 1.496e-10 , 7.892e-11 , 1.436e-12 , LogParabola , 5.973e-9 , 1.397e-9 , 2.190e-10 , 2.069e-11 , 1.389e-11 , 9.056e-12 , 4.943e-12 , 8.117e-13
2241 , 4FGL J1159.5-0723 , 4.088e-10 , 5.060e-11 , 4.554e-12 , 5.680e-13 , PowerLaw , 2.734e-10 , 1.052e-10 , 5.032e-11 , <4.965e-12 , 6.558e-13 , 7.207e-13 , 1.207e-12 , 2.601e-16
2242 , 4FGL J1200.2+0201 , 4.569e-10 , 4.812e-11 , 5.131e-12 , 5.193e-13 , PowerLaw , 3.368e-10 , 1.160e-10 , 2.636e-11 , 5.439e-12 , 7.979e-13 , 7.832e-13 , 6.245e-13 , 2.741e-13
2243 , 4FGL J1200.6+1229 , 2.461e-10 , 3.861e-11 , 3.578e-12 , 5.170e-13 , PowerLaw , 2.112e-10 , 3.759e-11 , 1.290e-11 , <5.016e-12 , 4.841e-13 , 2.439e-13 , 2.957e-13 , 1.571e-17
2244 , 4FGL J1200.7+2008 , 3.565e-10 , 4.385e-11 , 5.626e-12 , 5.195e-13 , PowerLaw , 2.825e-10 , 7.486e-11 , <5.672e-12 , 3.125e-12 , 6.434e-13 , 4.822e-13 , 1.764e-18 , 1.356e-13
2245 , 4FGL J1200.8-1429 , 1.506e-10 , 4.009e-11 , 1.677e-12 , 4.425e-13 , PowerLaw , 1.392e-10 , 3.705e-11 , 1.487e-11 , <5.276e-12 , 3.338e-13 , 2.538e-13 , 3.567e-13 , 1.639e-16
2246 , 4FGL J1201.1-0332 , 1.567e-10 , 3.681e-11 , 1.741e-12 , 4.091e-13 , PowerLaw , 1.521e-10 , 3.960e-11 , 1.012e-11 , 3.413e-12 , 3.631e-13 , 2.698e-13 , 2.416e-13 , 1.774e-13
2247 , 4FGL J1201.7+1429 , 1.777e-10 , 3.783e-11 , 2.373e-12 , 4.530e-13 , PowerLaw , 2.282e-10 , 1.781e-11 , <6.256e-12 , 3.346e-12 , 5.269e-13 , 1.166e-13 , 2.563e-16 , 1.526e-13
2248 , 4FGL J1202.4+4442 , 1.155e-10 , 2.657e-11 , 1.621e-12 , 3.481e-13 , PowerLaw , 1.495e-10 , 1.103e-11 , 5.223e-12 , <3.998e-12 , 3.437e-13 , 7.182e-14 , 1.201e-13 , 8.887e-17
2249 , 4FGL J1202.5+3852 , 2.503e-10 , 3.500e-11 , 3.208e-12 , 4.163e-13 , PowerLaw , 1.328e-10 , 4.463e-11 , 9.041e-12 , 7.512e-12 , 3.079e-13 , 2.936e-13 , 2.096e-13 , 3.480e-13
2250 , 4FGL J1202.9-5717 , 4.021e-10 , 7.435e-11 , 3.708e-12 , 8.231e-13 , LogParabola , 3.417e-10 , 4.522e-11 , 7.799e-13 , <4.805e-12 , 7.522e-13 , 2.569e-13 , 1.502e-14 , 1.833e-16
2251 , 4FGL J1203.1+6031 , 9.045e-10 , 5.424e-11 , 7.749e-12 , 6.428e-13 , LogParabola , 6.773e-10 , 2.095e-10 , 2.775e-11 , 1.246e-11 , 1.622e-12 , 1.397e-12 , 6.369e-13 , 5.007e-13
2252 , 4FGL J1203.3+1119 , 1.816e-10 , 3.993e-11 , 2.243e-12 , 5.128e-13 , PowerLaw , 1.424e-10 , 5.025e-11 , <7.309e-12 , <4.856e-12 , 3.315e-13 , 3.322e-13 , 3.416e-16 , 3.809e-17
2253 , 4FGL J1203.4-3925 , 3.238e-10 , 5.012e-11 , 3.979e-12 , 5.916e-13 , PowerLaw , 2.432e-10 , 6.062e-11 , 2.746e-11 , 2.364e-11 , 5.956e-13 , 4.258e-13 , 6.726e-13 , 1.367e-12
2254 , 4FGL J1203.4-6145 , 8.652e-10 , 1.419e-10 , 6.773e-12 , 2.152e-12 , LogParabola , 8.467e-10 , 8.616e-11 , <6.616e-12 , <5.060e-12 , 1.890e-12 , 4.942e-13 , 2.264e-17 , 1.161e-16
2255 , 4FGL J1203.5-1748 , 2.679e-10 , 4.437e-11 , 3.160e-12 , 5.110e-13 , PowerLaw , 2.228e-10 , 7.496e-11 , <7.707e-12 , <5.669e-12 , 5.221e-13 , 4.994e-13 , 1.104e-15 , 3.368e-16
2256 , 4FGL J1203.9-6242 , 5.647e-9 , 2.539e-10 , 4.014e-11 , 3.479e-12 , LogParabola , 4.716e-9 , 7.918e-10 , 4.516e-11 , <5.399e-12 , 1.084e-11 , 4.762e-12 , 9.149e-13 , 1.710e-17
2257 , 4FGL J1204.0+1146 , 3.017e-10 , 4.783e-11 , 3.486e-12 , 5.436e-13 , PowerLaw , 2.085e-10 , 8.916e-11 , 2.627e-11 , 4.851e-12 , 5.058e-13 , 6.191e-13 , 6.373e-13 , 2.695e-13
2258 , 4FGL J1204.2-0709 , 8.328e-10 , 6.405e-11 , 9.498e-12 , 7.695e-13 , PowerLaw , 5.213e-10 , 2.388e-10 , 7.324e-11 , 2.424e-11 , 1.261e-12 , 1.652e-12 , 1.772e-12 , 1.330e-12
2259 , 4FGL J1204.3-6111 , 6.322e-10 , 1.353e-10 , 6.311e-12 , 1.958e-12 , LogParabola , 5.266e-10 , 4.054e-11 , 4.732e-12 , <4.427e-12 , 1.119e-12 , 2.166e-13 , 8.969e-14 , 9.235e-18
2260 , 4FGL J1204.5-5032 , 6.555e-10 , 7.784e-11 , 3.430e-12 , 4.989e-13 , LogParabola , 5.611e-10 , 7.008e-11 , <6.644e-12 , <5.562e-12 , 1.283e-12 , 3.916e-13 , 5.722e-16 , 1.001e-16
2261 , 4FGL J1205.1-5951 , 4.050e-10 , 8.576e-11 , 4.916e-12 , 1.252e-12 , PowerLaw , 3.649e-10 , 8.726e-11 , <6.020e-12 , 8.475e-12 , 8.515e-13 , 5.785e-13 , 3.477e-19 , 4.024e-13
2262 , 4FGL J1205.7-2635 , 6.275e-10 , 5.694e-11 , 9.438e-12 , 6.978e-13 , PowerLaw , 4.792e-10 , 1.032e-10 , 1.234e-11 , <4.845e-12 , 1.095e-12 , 6.676e-13 , 2.821e-13 , 2.590e-17
2263 , 4FGL J1205.8+3321 , 1.227e-10 , 3.020e-11 , 2.313e-12 , 4.399e-13 , PowerLaw , 9.733e-11 , 3.034e-11 , 1.711e-12 , <4.656e-12 , 2.191e-13 , 1.927e-13 , 3.851e-14 , 1.257e-16
2264 , 4FGL J1207.2-0524 , 1.498e-10 , 3.760e-11 , 1.670e-12 , 4.100e-13 , PowerLaw , 7.518e-11 , 4.747e-11 , 1.328e-11 , <5.327e-12 , 1.804e-13 , 3.254e-13 , 3.187e-13 , 7.809e-17
2265 , 4FGL J1207.4-5050 , 9.388e-10 , 8.240e-11 , 4.834e-12 , 4.647e-13 , PLSuperExpCutoff , 7.017e-10 , 1.626e-10 , 4.372e-12 , <4.436e-12 , 1.704e-12 , 9.364e-13 , 8.287e-14 , 1.980e-16
2266 , 4FGL J1207.4-1840 , 1.455e-10 , 3.886e-11 , 1.637e-12 , 4.423e-13 , PowerLaw , 1.748e-10 , 1.999e-11 , 1.123e-11 , <5.042e-12 , 4.139e-13 , 1.348e-13 , 2.658e-13 , 3.935e-21
2267 , 4FGL J1207.4-4536 , 6.036e-10 , 6.885e-11 , 3.034e-12 , 4.333e-13 , LogParabola , 5.227e-10 , 9.103e-11 , <4.870e-12 , <5.224e-12 , 1.220e-12 , 5.219e-13 , 3.147e-17 , 4.728e-20
2268 , 4FGL J1207.7-0106 , 3.655e-10 , 4.780e-11 , 4.316e-12 , 5.160e-13 , PowerLaw , 2.922e-10 , 8.195e-11 , 1.061e-11 , <5.287e-12 , 6.845e-13 , 5.459e-13 , 2.486e-13 , 1.273e-17
