id , Source Name , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , 0.1-100 GeV Energy Flux (erg cm-2 s-1) , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s)
2285 , 4FGL J1209.4-6421c , 5.514e-10 , 1.143e-10 , 8.263e-12 , 2.239e-12 , PowerLaw , 6.930e-10 , 5.860e-11 , 5.301e-12 , 3.385e-12 , 1.584e-12 , 3.792e-13 , 1.212e-13 , 1.489e-13
2286 , 4FGL J1209.8+1810 , 5.015e-10 , 4.876e-11 , 6.223e-12 , 5.465e-13 , PowerLaw , 4.097e-10 , 7.931e-11 , 1.486e-11 , 1.151e-11 , 9.533e-13 , 5.241e-13 , 3.459e-13 , 5.408e-13
2287 , 4FGL J1209.9-5923 , 4.916e-10 , 1.165e-10 , 4.252e-12 , 1.231e-12 , LogParabola , 3.759e-10 , 3.818e-11 , <6.675e-12 , <4.178e-12 , 8.047e-13 , 2.041e-13 , 9.701e-17 , 6.856e-18
2288 , 4FGL J1210.4-6250 , 2.140e-9 , 3.127e-10 , 1.497e-11 , 3.183e-12 , LogParabola , 2.199e-9 , 4.902e-11 , 2.319e-11 , <3.740e-12 , 4.657e-12 , 2.559e-13 , 4.395e-13 , 2.523e-17
2289 , 4FGL J1210.4-6100c , 5.282e-10 , 1.054e-10 , 7.024e-12 , 1.802e-12 , PowerLaw , 5.567e-10 , 7.932e-11 , 2.872e-12 , 2.780e-12 , 1.286e-12 , 5.195e-13 , 6.635e-14 , 1.270e-13
2290 , 4FGL J1210.7-6005c , 4.499e-10 , 9.196e-11 , 6.005e-12 , 1.590e-12 , PowerLaw , 4.105e-10 , 6.324e-11 , 9.522e-12 , 2.217e-12 , 9.479e-13 , 4.140e-13 , 2.199e-13 , 1.011e-13
2291 , 4FGL J1211.0-3800 , 3.308e-10 , 4.702e-11 , 3.869e-12 , 5.395e-13 , PowerLaw , 2.245e-10 , 1.015e-10 , 6.065e-12 , <4.472e-12 , 5.268e-13 , 6.775e-13 , 1.423e-13 , 8.836e-17
2292 , 4FGL J1211.6-2735 , 2.194e-10 , 4.469e-11 , 3.551e-12 , 6.914e-13 , PowerLaw , 1.813e-10 , 3.644e-11 , 3.212e-12 , <4.856e-12 , 4.122e-13 , 2.342e-13 , 7.303e-14 , 2.118e-17
2293 , 4FGL J1211.6+3901 , 1.296e-10 , 2.951e-11 , 1.448e-12 , 3.371e-13 , PowerLaw , 7.724e-11 , 1.901e-11 , 1.170e-11 , 5.177e-12 , 1.834e-13 , 1.287e-13 , 2.778e-13 , 2.635e-13
2294 , 4FGL J1212.0-2326 , 2.524e-10 , 4.890e-11 , 2.981e-12 , 5.479e-13 , PowerLaw , 9.064e-11 , 9.309e-11 , 2.180e-11 , 1.037e-11 , 2.207e-13 , 6.494e-13 , 5.308e-13 , 5.855e-13
2295 , 4FGL J1212.0+2242 , 1.790e-10 , 3.379e-11 , 1.990e-12 , 3.761e-13 , PowerLaw , 1.115e-10 , 5.652e-11 , 7.009e-12 , 3.176e-12 , 2.669e-13 , 3.862e-13 , 1.678e-13 , 1.668e-13
2296 , 4FGL J1212.2+2442 , 1.881e-10 , 3.444e-11 , 2.096e-12 , 3.799e-13 , PowerLaw , 1.791e-10 , 7.891e-12 , 2.304e-11 , <4.505e-12 , 4.258e-13 , 5.350e-14 , 5.479e-13 , 3.362e-21
2297 , 4FGL J1212.7-1402 , 1.407e-10 , 3.929e-11 , 1.607e-12 , 4.994e-13 , PowerLaw , 3.773e-11 , 2.707e-11 , 6.222e-12 , 3.435e-12 , 8.895e-14 , 1.817e-13 , 1.467e-13 , 1.698e-13
2298 , 4FGL J1213.0+5129 , 3.153e-10 , 3.513e-11 , 3.618e-12 , 3.908e-13 , PowerLaw , 1.821e-10 , 7.998e-11 , 1.951e-11 , 5.174e-12 , 4.288e-13 , 5.361e-13 , 4.595e-13 , 2.547e-13
2299 , 4FGL J1213.3-2618 , 2.821e-10 , 4.702e-11 , 3.442e-12 , 5.548e-13 , PowerLaw , 1.171e-10 , 1.153e-10 , 3.152e-11 , 1.054e-11 , 2.865e-13 , 8.091e-13 , 7.713e-13 , 6.071e-13
2300 , 4FGL J1213.3-6240e , 8.344e-9 , 3.348e-10 , 7.661e-11 , 4.647e-12 , LogParabola , 6.568e-9 , 1.584e-9 , 2.671e-10 , 5.987e-11 , 1.546e-11 , 1.036e-11 , 6.048e-12 , 2.325e-12
2301 , 4FGL J1213.6+1306 , 6.329e-10 , 6.028e-11 , 5.883e-12 , 6.444e-13 , LogParabola , 6.519e-10 , 5.536e-11 , 8.953e-12 , <4.712e-12 , 1.468e-12 , 3.306e-13 , 1.823e-13 , 2.034e-17
2302 , 4FGL J1213.7+6423 , 1.790e-10 , 3.037e-11 , 3.140e-12 , 3.828e-13 , PowerLaw , 1.677e-10 , 4.009e-11 , 2.466e-12 , 4.644e-12 , 3.793e-13 , 2.560e-13 , 5.576e-14 , 1.964e-13
2303 , 4FGL J1213.8-4345 , 3.089e-10 , 5.284e-11 , 3.507e-12 , 6.380e-13 , PowerLaw , 2.810e-10 , 5.595e-11 , 1.781e-11 , <6.357e-12 , 6.635e-13 , 3.762e-13 , 4.206e-13 , 1.656e-19
2304 , 4FGL J1213.9-4416 , 6.606e-10 , 6.913e-11 , 5.625e-12 , 8.303e-13 , LogParabola , 4.273e-10 , 1.160e-10 , 1.193e-11 , 8.979e-13 , 9.869e-13 , 7.243e-13 , 2.549e-13 , 2.823e-14
2305 , 4FGL J1214.5-2318 , 2.568e-10 , 4.715e-11 , 2.854e-12 , 5.258e-13 , PowerLaw , 2.334e-10 , 7.160e-11 , 1.494e-11 , <5.312e-12 , 5.563e-13 , 4.868e-13 , 3.562e-13 , 4.030e-17
2306 , 4FGL J1214.7-5858 , 4.943e-10 , 7.935e-11 , 6.750e-12 , 1.255e-12 , PowerLaw , 3.633e-10 , 8.414e-11 , <8.471e-12 , 1.256e-12 , 8.371e-13 , 5.495e-13 , 8.725e-17 , 5.687e-14
2307 , 4FGL J1215.0+1656 , 6.566e-10 , 5.518e-11 , 9.018e-12 , 6.036e-13 , PowerLaw , 6.169e-10 , 9.583e-11 , 9.889e-12 , 7.705e-12 , 1.421e-12 , 6.254e-13 , 2.277e-13 , 3.481e-13
2308 , 4FGL J1215.1+5002 , 3.985e-10 , 4.006e-11 , 4.532e-12 , 4.715e-13 , PowerLaw , 2.115e-10 , 9.787e-11 , 5.006e-11 , 2.554e-12 , 5.113e-13 , 6.767e-13 , 1.210e-12 , 1.398e-13
2309 , 4FGL J1215.1+0731 , 1.754e-10 , 3.569e-11 , 2.263e-12 , 4.575e-13 , PowerLaw , 1.200e-10 , 6.829e-11 , 1.438e-11 , 1.033e-11 , 2.956e-13 , 4.830e-13 , 3.543e-13 , 6.124e-13
2310 , 4FGL J1215.1+3513 , 1.276e-10 , 3.004e-11 , 2.251e-12 , 4.381e-13 , PowerLaw , 1.029e-10 , 1.960e-11 , <6.452e-12 , <5.528e-12 , 2.325e-13 , 1.251e-13 , 1.596e-17 , 6.090e-17
2311 , 4FGL J1215.8-3732 , 1.851e-10 , 4.177e-11 , 2.249e-12 , 5.368e-13 , PowerLaw , 8.505e-11 , 2.879e-11 , 1.725e-11 , <5.855e-12 , 1.984e-13 , 1.909e-13 , 4.024e-13 , 4.994e-18
2312 , 4FGL J1215.8-1733 , 2.283e-10 , 4.501e-11 , 3.879e-12 , 5.837e-13 , PowerLaw , 2.194e-10 , 5.253e-11 , <6.093e-12 , <4.921e-12 , 4.970e-13 , 3.363e-13 , 2.047e-22 , 1.666e-17
